samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
60,60,0,1,1,0.048,0.049,1,TRUE,FALSE
45,60,0,1,1,0.042,0.045,1,TRUE,FALSE
75,60,0,1,1,0.042,0.044,1,TRUE,FALSE
30,60,0,1,1,0.053,0.046,1,TRUE,FALSE
90,60,0,1,1,0.058,0.057,1,TRUE,FALSE
15,60,0,1,1,0.042,0.04,1,TRUE,FALSE
105,60,0,1,1,0.044,0.043,1,TRUE,FALSE
60,60,0.2,1,1,0.837,0.834,1,FALSE,FALSE
45,60,0.2,1,1,0.819,0.813,1,FALSE,FALSE
75,60,0.2,1,1,0.789,0.789,1,FALSE,FALSE
30,60,0.2,1,1,0.852,0.851,1,FALSE,FALSE
90,60,0.2,1,1,0.785,0.79,1,FALSE,FALSE
15,60,0.2,1,1,0.896,0.897,1,FALSE,FALSE
105,60,0.2,1,1,0.773,0.776,1,FALSE,FALSE
60,60,0.5,1,1,0.239,0.238,1,FALSE,FALSE
45,60,0.5,1,1,0.274,0.273,1,FALSE,FALSE
75,60,0.5,1,1,0.182,0.182,1,FALSE,FALSE
30,60,0.5,1,1,0.391,0.396,1,FALSE,FALSE
90,60,0.5,1,1,0.145,0.145,1,FALSE,FALSE
15,60,0.5,1,1,0.605,0.617,1,FALSE,FALSE
105,60,0.5,1,1,0.131,0.137,1,FALSE,FALSE
60,60,0.8,1,1,0.006,0.006,1,FALSE,FALSE
45,60,0.8,1,1,0.026,0.027,1,FALSE,FALSE
75,60,0.8,1,1,0.004,0.005,1,FALSE,FALSE
30,60,0.8,1,1,0.052,0.059,1,FALSE,FALSE
90,60,0.8,1,1,0.005,0.005,1,FALSE,FALSE
15,60,0.8,1,1,0.215,0.258,0.000139166,FALSE,TRUE
105,60,0.8,1,1,0,0,1,FALSE,FALSE
60,60,0,0.75,1,0.056,0.057,1,TRUE,FALSE
45,60,0,0.75,1,0.032,0.043,0.575418262,TRUE,FALSE
75,60,0,0.75,1,0.067,0.059,1,TRUE,FALSE
30,60,0,0.75,1,0.02,0.035,0.067333864,TRUE,FALSE
90,60,0,0.75,1,0.061,0.044,0.023343476,TRUE,TRUE
15,60,0,0.75,1,0.033,0.051,0.064874748,TRUE,FALSE
105,60,0,0.75,1,0.077,0.062,0.067333864,TRUE,FALSE
60,60,0.2,0.75,1,0.807,0.807,1,FALSE,FALSE
45,60,0.2,0.75,1,0.857,0.842,0.067333864,FALSE,FALSE
75,60,0.2,0.75,1,0.785,0.806,0.002855927,FALSE,TRUE
30,60,0.2,0.75,1,0.888,0.836,3.41E-10,FALSE,TRUE
90,60,0.2,0.75,1,0.74,0.765,0.000355411,FALSE,TRUE
15,60,0.2,0.75,1,0.933,0.878,4.62E-10,FALSE,TRUE
105,60,0.2,0.75,1,0.719,0.775,4.45E-11,FALSE,TRUE
60,60,0.5,0.75,1,0.222,0.22,1,FALSE,FALSE
45,60,0.5,0.75,1,0.308,0.281,0.000125977,FALSE,TRUE
75,60,0.5,0.75,1,0.168,0.182,0.114689013,FALSE,FALSE
30,60,0.5,0.75,1,0.447,0.386,9.08E-12,FALSE,TRUE
90,60,0.5,0.75,1,0.153,0.18,0.000125977,FALSE,TRUE
15,60,0.5,0.75,1,0.673,0.54,5.59E-26,FALSE,TRUE
105,60,0.5,0.75,1,0.133,0.162,4.48E-05,FALSE,TRUE
60,60,0.8,0.75,1,0.016,0.016,1,FALSE,FALSE
45,60,0.8,0.75,1,0.029,0.024,1,FALSE,FALSE
75,60,0.8,0.75,1,0.003,0.003,1,FALSE,FALSE
30,60,0.8,0.75,1,0.057,0.038,0.008144182,FALSE,TRUE
90,60,0.8,0.75,1,0.003,0.004,1,FALSE,FALSE
15,60,0.8,0.75,1,0.245,0.156,1.60E-17,FALSE,TRUE
105,60,0.8,0.75,1,0.002,0.003,1,FALSE,FALSE
60,60,0,1.25,1,0.06,0.06,1,TRUE,FALSE
45,60,0,1.25,1,0.055,0.049,1,TRUE,FALSE
75,60,0,1.25,1,0.047,0.052,1,TRUE,FALSE
30,60,0,1.25,1,0.056,0.043,0.195795535,TRUE,FALSE
