samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
1000,1000,0,1,1,0.0488,0.0488,1,TRUE,FALSE
1000,750,0,1,1,0.048,0.0477,1,TRUE,FALSE
1000,1250,0,1,1,0.0479,0.0478,1,TRUE,FALSE
1000,500,0,1,1,0.0462,0.0461,1,TRUE,FALSE
1000,1500,0,1,1,0.0474,0.0475,1,TRUE,FALSE
1000,250,0,1,1,0.0517,0.052,1,TRUE,FALSE
1000,1750,0,1,1,0.0479,0.0477,1,TRUE,FALSE
1000,1000,0.2,1,1,0.0057,0.0057,1,FALSE,FALSE
1000,750,0.2,1,1,0.0134,0.0133,1,FALSE,FALSE
1000,1250,0.2,1,1,0.0025,0.0025,1,FALSE,FALSE
1000,500,0.2,1,1,0.0474,0.0473,1,FALSE,FALSE
1000,1500,0.2,1,1,0.0025,0.0024,1,FALSE,FALSE
1000,250,0.2,1,1,0.1934,0.1938,1,FALSE,FALSE
1000,1750,0.2,1,1,0.001,0.0011,1,FALSE,FALSE
1000,1000,0.5,1,1,0,0,1,FALSE,FALSE
1000,750,0.5,1,1,0,0,1,FALSE,FALSE
1000,1250,0.5,1,1,0,0,1,FALSE,FALSE
1000,500,0.5,1,1,0,0,1,FALSE,FALSE
1000,1500,0.5,1,1,0,0,1,FALSE,FALSE
1000,250,0.5,1,1,0,0,1,FALSE,FALSE
1000,1750,0.5,1,1,0,0,1,FALSE,FALSE
1000,1000,0.8,1,1,0,0,1,FALSE,FALSE
1000,750,0.8,1,1,0,0,1,FALSE,FALSE
1000,1250,0.8,1,1,0,0,1,FALSE,FALSE
1000,500,0.8,1,1,0,0,1,FALSE,FALSE
1000,1500,0.8,1,1,0,0,1,FALSE,FALSE
1000,250,0.8,1,1,0,0,1,FALSE,FALSE
1000,1750,0.8,1,1,0,0,1,FALSE,FALSE
1000,1000,0,0.75,1,0.0529,0.0529,1,TRUE,FALSE
1000,750,0,0.75,1,0.0636,0.0524,2.19E-23,TRUE,TRUE
1000,1250,0,0.75,1,0.0457,0.0526,6.04E-14,TRUE,TRUE
1000,500,0,0.75,1,0.0728,0.0475,3.51E-54,TRUE,TRUE
1000,1500,0,0.75,1,0.0373,0.0495,1.41E-25,TRUE,TRUE
1000,250,0,0.75,1,0.0989,0.0504,1.06E-104,TRUE,TRUE
1000,1750,0,0.75,1,0.0344,0.0502,1.89E-33,TRUE,TRUE
1000,1000,0.2,0.75,1,0.0057,0.0057,1,FALSE,FALSE
1000,750,0.2,0.75,1,0.0158,0.0189,1.59E-05,FALSE,TRUE
1000,1250,0.2,0.75,1,0.0023,0.0021,1,FALSE,FALSE
1000,500,0.2,0.75,1,0.0448,0.0646,3.48E-42,FALSE,TRUE
1000,1500,0.2,0.75,1,0.002,0.0013,1,FALSE,FALSE
1000,250,0.2,0.75,1,0.1703,0.261,1.80E-196,FALSE,TRUE
1000,1750,0.2,0.75,1,9.00E-04,6.00E-04,1,FALSE,FALSE
1000,1000,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,750,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,1250,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,500,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,1500,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,250,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,1750,0.5,0.75,1,0,0,1,FALSE,FALSE
1000,1000,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,750,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,1250,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,500,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,1500,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,250,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,1750,0.8,0.75,1,0,0,1,FALSE,FALSE
1000,1000,0,1.25,1,0.0502,0.0502,1,TRUE,FALSE
1000,750,0,1.25,1,0.0431,0.0489,1.61E-11,TRUE,TRUE
1000,1250,0,1.25,1,0.0563,0.0513,9.45E-10,TRUE,TRUE
1000,500,0,1.25,1,0.035,0.0481,1.51E-27,TRUE,TRUE
1000,1500,0,1.25,1,0.0615,0.0498,1.76E-24,TRUE,TRUE
1000,250,0,1.25,1,0.0262,0.0508,1.18E-52,TRUE,TRUE
1000,1750,0,1.25,1,0.0665,0.0528,7.37E-29,TRUE,TRUE
1000,1000,0.2,1.25,1,0.0054,0.0054,1,FALSE,FALSE
1000,750,0.2,1.25,1,0.0152,0.0129,0.001005712,FALSE,TRUE
1000,1250,0.2,1.25,1,0.0033,0.004,1,FALSE,FALSE
1000,500,0.2,1.25,1,0.0477,0.034,7.37E-29,FALSE,TRUE
1000,1500,0.2,1.25,1,0.0015,0.0018,1,FALSE,FALSE
1000,250,0.2,1.25,1,0.2134,0.1417,3.66E-155,FALSE,TRUE
1000,1750,0.2,1.25,1,6.00E-04,0.001,1,FALSE,FALSE
1000,1000,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,750,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,1250,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,500,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,1500,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,250,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,1750,0.5,1.25,1,0,0,1,FALSE,FALSE
1000,1000,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,750,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,1250,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,500,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,1500,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,250,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,1750,0.8,1.25,1,0,0,1,FALSE,FALSE
1000,1000,0,0.5,1,0.0509,0.0509,1,TRUE,FALSE
1000,750,0,0.5,1,0.0651,0.0463,5.30E-40,TRUE,TRUE
1000,1250,0,0.5,1,0.0379,0.053,6.40E-32,TRUE,TRUE
1000,500,0,0.5,1,0.1087,0.0499,4.16E-127,TRUE,TRUE
1000,1500,0,0.5,1,0.0313,0.0536,1.22E-47,TRUE,TRUE
1000,250,0,0.5,1,0.1743,0.0502,4.57E-269,TRUE,TRUE
1000,1750,0,0.5,1,0.0203,0.0483,4.58E-60,TRUE,TRUE
1000,1000,0.2,0.5,1,0.0059,0.0059,1,FALSE,FALSE
1000,750,0.2,0.5,1,0.0155,0.0234,3.80E-16,FALSE,TRUE
1000,1250,0.2,0.5,1,0.0022,0.0017,1,FALSE,FALSE
1000,500,0.2,0.5,1,0.0403,0.0855,1.61E-97,FALSE,TRUE
1000,1500,0.2,0.5,1,0.0016,6.00E-04,0.991541792,FALSE,FALSE
1000,250,0.2,0.5,1,0.1416,0.3205,0,FALSE,TRUE
1000,1750,0.2,0.5,1,4.00E-04,3.00E-04,1,FALSE,FALSE
1000,1000,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,750,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,1250,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,500,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,1500,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,250,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,1750,0.5,0.5,1,0,0,1,FALSE,FALSE
1000,1000,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,750,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,1250,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,500,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,1500,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,250,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,1750,0.8,0.5,1,0,0,1,FALSE,FALSE
1000,1000,0,1.5,1,0.0509,0.0509,1,TRUE,FALSE
1000,750,0,1.5,1,0.0353,0.0484,1.51E-27,TRUE,TRUE
1000,1250,0,1.5,1,0.062,0.0504,2.91E-24,TRUE,TRUE
1000,500,0,1.5,1,0.0261,0.0503,8.79E-52,TRUE,TRUE
1000,1500,0,1.5,1,0.0715,0.0514,7.71E-43,TRUE,TRUE
1000,250,0,1.5,1,0.0118,0.054,5.46E-91,TRUE,TRUE
1000,1750,0,1.5,1,0.0758,0.0518,2.40E-51,TRUE,TRUE
1000,1000,0.2,1.5,1,0.0076,0.0076,1,FALSE,FALSE
1000,750,0.2,1.5,1,0.0147,0.0114,5.69E-06,FALSE,TRUE
1000,1250,0.2,1.5,1,0.0041,0.0052,0.575418262,FALSE,FALSE
1000,500,0.2,1.5,1,0.048,0.0263,2.49E-46,FALSE,TRUE
1000,1500,0.2,1.5,1,0.002,0.0034,0.114689013,FALSE,FALSE
1000,250,0.2,1.5,1,0.2344,0.1027,1.39E-285,FALSE,TRUE
1000,1750,0.2,1.5,1,0.0013,0.0023,0.991541792,FALSE,FALSE
1000,1000,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,750,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1250,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,500,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1500,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,250,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1750,0.5,1.5,1,0,0,1,FALSE,FALSE
1000,1000,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,750,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1250,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,500,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1500,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,250,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1750,0.8,1.5,1,0,0,1,FALSE,FALSE
1000,1000,0,0.25,1,0.0496,0.0496,1,TRUE,FALSE
1000,750,0,0.25,1,0.088,0.0523,7.73E-77,TRUE,TRUE
1000,1250,0,0.25,1,0.0308,0.0498,1.94E-40,TRUE,TRUE
1000,500,0,0.25,1,0.1402,0.0467,1.47E-202,TRUE,TRUE
1000,1500,0,0.25,1,0.0195,0.0508,2.96E-67,TRUE,TRUE
1000,250,0,0.25,1,0.2818,0.0528,0,TRUE,TRUE
1000,1750,0,0.25,1,0.0117,0.0509,1.85E-84,TRUE,TRUE
1000,1000,0.2,0.25,1,0.0058,0.0058,1,FALSE,FALSE
1000,750,0.2,0.25,1,0.015,0.0266,2.91E-24,FALSE,TRUE
1000,1250,0.2,0.25,1,0.0032,0.001,0.001693957,FALSE,TRUE
1000,500,0.2,0.25,1,0.0396,0.1054,2.48E-142,FALSE,TRUE
1000,1500,0.2,0.25,1,8.00E-04,2.00E-04,1,FALSE,FALSE
1000,250,0.2,0.25,1,0.1161,0.3739,0,FALSE,TRUE
1000,1750,0.2,0.25,1,7.00E-04,3.00E-04,1,FALSE,FALSE
1000,1000,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,750,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,1250,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,500,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,1500,0.5,0.25,1,0,0,1,FALSE,FALSE
1000,250,0.5,0.25,1,0,1.00E-04,1,FALSE,FALSE
