samp1,samp2,es,sd1,sd2,mean(Method1),mean(Method2),"pVal(Method1, Method2)",typeI,sig
10,10,0,1,1,0.0491,0.0505,1,TRUE,FALSE
10,8,0,1,1,0.0437,0.0462,1,TRUE,FALSE
10,13,0,1,1,0.0495,0.0521,1,TRUE,FALSE
10,5,0,1,1,0.0519,0.052,1,TRUE,FALSE
10,15,0,1,1,0.0479,0.0506,1,TRUE,FALSE
10,3,0,1,1,0.0481,0.0657,4.03E-13,TRUE,TRUE
10,18,0,1,1,0.0498,0.051,1,TRUE,FALSE
10,10,0.2,1,1,0.9346,0.933,0.492720942,FALSE,FALSE
10,8,0.2,1,1,0.9358,0.933,1,FALSE,FALSE
10,13,0.2,1,1,0.9306,0.9278,1,FALSE,FALSE
10,5,0.2,1,1,0.9318,0.9342,1,FALSE,FALSE
10,15,0.2,1,1,0.9299,0.9262,1,FALSE,FALSE
10,3,0.2,1,1,0.943,0.9333,0.008495795,FALSE,TRUE
10,18,0.2,1,1,0.9245,0.9217,1,FALSE,FALSE
10,10,0.5,1,1,0.8261,0.8201,1.88E-10,FALSE,TRUE
10,8,0.5,1,1,0.8344,0.8307,1,FALSE,FALSE
10,13,0.5,1,1,0.7997,0.7951,0.364937731,FALSE,FALSE
10,5,0.5,1,1,0.8634,0.8691,1,FALSE,FALSE
10,15,0.5,1,1,0.7896,0.7862,1,FALSE,FALSE
10,3,0.5,1,1,0.8921,0.8876,1,FALSE,FALSE
10,18,0.5,1,1,0.7697,0.7713,1,FALSE,FALSE
10,10,0.8,1,1,0.619,0.6122,6.37E-10,FALSE,TRUE
10,8,0.8,1,1,0.667,0.6577,4.46E-05,FALSE,TRUE
10,13,0.8,1,1,0.5737,0.5698,1,FALSE,FALSE
10,5,0.8,1,1,0.7305,0.7478,2.61E-07,FALSE,TRUE
10,15,0.8,1,1,0.5434,0.5419,1,FALSE,FALSE
10,3,0.8,1,1,0.8069,0.8183,0.340458104,FALSE,FALSE
10,18,0.8,1,1,0.5133,0.5184,1,FALSE,FALSE
10,10,0,0.75,1,0.0488,0.0511,0.00242482,TRUE,TRUE
10,8,0,0.75,1,0.0553,0.0498,1.28E-05,TRUE,TRUE
10,13,0,0.75,1,0.0423,0.0518,1.54E-15,TRUE,TRUE
10,5,0,0.75,1,0.068,0.0526,2.13E-15,TRUE,TRUE
10,15,0,0.75,1,0.037,0.0474,3.72E-17,TRUE,TRUE
10,3,0,0.75,1,0.0762,0.066,0.012476021,TRUE,TRUE
10,18,0,0.75,1,0.0331,0.0477,4.74E-24,TRUE,TRUE
10,10,0.2,0.75,1,0.9336,0.9316,0.117056889,FALSE,FALSE
10,8,0.2,0.75,1,0.9245,0.9315,7.36E-07,FALSE,TRUE
10,13,0.2,0.75,1,0.9395,0.9261,1.66E-23,FALSE,TRUE
10,5,0.2,0.75,1,0.9134,0.9334,4.07E-22,FALSE,TRUE
10,15,0.2,0.75,1,0.9413,0.9262,3.20E-26,FALSE,TRUE
10,3,0.2,0.75,1,0.9078,0.9238,4.17E-07,FALSE,TRUE
10,18,0.2,0.75,1,0.9416,0.9195,1.13E-38,FALSE,TRUE
10,10,0.5,0.75,1,0.8159,0.8145,1,FALSE,FALSE
10,8,0.5,0.75,1,0.8324,0.8453,1.53E-14,FALSE,TRUE
10,13,0.5,0.75,1,0.8158,0.792,2.86E-42,FALSE,TRUE
10,5,0.5,0.75,1,0.8357,0.876,4.42E-54,FALSE,TRUE
10,15,0.5,0.75,1,0.8114,0.7806,5.74E-53,FALSE,TRUE
10,3,0.5,0.75,1,0.8562,0.8913,3.28E-27,FALSE,TRUE
10,18,0.5,0.75,1,0.8015,0.7499,1.36E-93,FALSE,TRUE
10,10,0.8,0.75,1,0.6195,0.6153,0.000771663,FALSE,TRUE
10,8,0.8,0.75,1,0.6395,0.6614,6.06E-29,FALSE,TRUE
10,13,0.8,0.75,1,0.5824,0.5494,3.69E-58,FALSE,TRUE
10,5,0.8,0.75,1,0.693,0.7712,9.56E-131,FALSE,TRUE
10,15,0.8,0.75,1,0.5648,0.5129,1.10E-90,FALSE,TRUE
10,3,0.8,0.75,1,0.7633,0.8367,2.25E-78,FALSE,TRUE
10,18,0.8,0.75,1,0.5458,0.4764,7.90E-123,FALSE,TRUE
10,10,0,1.25,1,0.0452,0.0467,0.153448258,TRUE,FALSE
10,8,0,1.25,1,0.0405,0.0485,1.67E-13,TRUE,TRUE
10,13,0,1.25,1,0.0581,0.0531,0.000668258,TRUE,TRUE
10,5,0,1.25,1,0.039,0.0505,8.59E-12,TRUE,TRUE
10,15,0,1.25,1,0.0548,0.0474,2.02E-07,TRUE,TRUE
10,3,0,1.25,1,0.0297,0.0564,1.44E-35,TRUE,TRUE
10,18,0,1.25,1,0.061,0.0502,3.40E-13,TRUE,TRUE
10,10,0.2,1.25,1,0.9318,0.9297,0.045714818,FALSE,TRUE
10,8,0.2,1.25,1,0.941,0.9331,1.94E-10,FALSE,TRUE
10,13,0.2,1.25,1,0.923,0.929,5.55E-06,FALSE,TRUE
10,5,0.2,1.25,1,0.9471,0.9357,2.31E-09,FALSE,TRUE
10,15,0.2,1.25,1,0.9187,0.9316,1.29E-16,FALSE,TRUE
10,3,0.2,1.25,1,0.9608,0.93,3.23E-38,FALSE,TRUE
10,18,0.2,1.25,1,0.9102,0.9264,7.37E-20,FALSE,TRUE
10,10,0.5,1.25,1,0.8214,0.8166,4.34E-06,FALSE,TRUE
10,8,0.5,1.25,1,0.852,0.8345,9.46E-28,FALSE,TRUE
10,13,0.5,1.25,1,0.7858,0.7981,1.49E-11,FALSE,TRUE
10,5,0.5,1.25,1,0.8843,0.8689,1.18E-09,FALSE,TRUE
10,15,0.5,1.25,1,0.7753,0.7993,1.83E-33,FALSE,TRUE
10,3,0.5,1.25,1,0.9238,0.8859,4.11E-37,FALSE,TRUE
10,18,0.5,1.25,1,0.7533,0.7904,2.78E-52,FALSE,TRUE
10,10,0.8,1.25,1,0.6221,0.6157,6.99E-09,FALSE,TRUE
10,8,0.8,1.25,1,0.6632,0.6403,1.12E-33,FALSE,TRUE
10,13,0.8,1.25,1,0.5563,0.5814,3.00E-33,FALSE,TRUE
10,5,0.8,1.25,1,0.7515,0.7261,3.65E-17,FALSE,TRUE
10,15,0.8,1.25,1,0.5159,0.554,8.43E-57,FALSE,TRUE
10,3,0.8,1.25,1,0.8568,0.8142,4.90E-31,FALSE,TRUE
10,18,0.8,1.25,1,0.4786,0.5342,2.04E-86,FALSE,TRUE
10,10,0,0.5,1,0.0493,0.0473,0.073883829,TRUE,FALSE
10,8,0,0.5,1,0.0716,0.0545,7.20E-34,TRUE,TRUE
10,13,0,0.5,1,0.0334,0.0478,5.78E-30,TRUE,TRUE
10,5,0,0.5,1,0.1056,0.0566,3.02E-95,TRUE,TRUE
10,15,0,0.5,1,0.0286,0.0503,4.55E-45,TRUE,TRUE
10,3,0,0.5,1,0.1365,0.0682,2.56E-101,TRUE,TRUE
10,18,0,0.5,1,0.0201,0.048,2.03E-59,TRUE,TRUE
10,10,0.2,0.5,1,0.924,0.9265,0.027216443,FALSE,TRUE
10,8,0.2,0.5,1,0.915,0.9354,6.42E-40,FALSE,TRUE
10,13,0.2,0.5,1,0.9481,0.9285,9.51E-42,FALSE,TRUE
10,5,0.2,0.5,1,0.8766,0.9332,1.46E-110,FALSE,TRUE
10,15,0.2,0.5,1,0.9504,0.9226,8.91E-59,FALSE,TRUE
